case,events_used,events_available,split_type,fold_id,model,zoning,B_requested,modes_actual,area_weighted,leakage_audit,gp_backend,lf_data_type,rmse_area,csi_area,status,notes
Carlisle,9,9,random_7_2,fold_a,global,none,4,4,True,CLEAN_PASS,sklearn_GPR,real_HDF5,0.1464,0.8841,complete,TRUE equal budget: force_n_modes for Global
Carlisle,9,9,random_7_2,fold_a,kmeans,kmeans,4,4,True,CLEAN_PASS,sklearn_GPR,real_HDF5,0.1015,0.8814,complete,TRUE equal budget: force_n_modes for Global
Carlisle,9,9,random_7_2,fold_a,rule,rule,4,4,True,CLEAN_PASS,sklearn_GPR,real_HDF5,0.0964,0.8838,complete,TRUE equal budget: force_n_modes for Global
Carlisle,9,9,random_7_2,fold_a,global,none,6,6,True,CLEAN_PASS,sklearn_GPR,real_HDF5,0.2588,0.8633,complete,TRUE equal budget: force_n_modes for Global
Carlisle,9,9,random_7_2,fold_a,kmeans,kmeans,6,6,True,CLEAN_PASS,sklearn_GPR,real_HDF5,0.1367,0.8882,complete,TRUE equal budget: force_n_modes for Global
Carlisle,9,9,random_7_2,fold_a,rule,rule,6,6,True,CLEAN_PASS,sklearn_GPR,real_HDF5,0.1256,0.8795,complete,TRUE equal budget: force_n_modes for Global
Carlisle,9,9,random_7_2,fold_a,global,none,8,7,True,CLEAN_PASS,sklearn_GPR,real_HDF5,0.3527,0.8732,complete,TRUE equal budget: force_n_modes for Global
Carlisle,9,9,random_7_2,fold_a,kmeans,kmeans,8,8,True,CLEAN_PASS,sklearn_GPR,real_HDF5,0.298,0.8736,complete,TRUE equal budget: force_n_modes for Global
Carlisle,9,9,random_7_2,fold_a,rule,rule,8,8,True,CLEAN_PASS,sklearn_GPR,real_HDF5,0.179,0.8746,complete,TRUE equal budget: force_n_modes for Global
Chowilla,12,31,random_10_2,fold_a,global,none,4,unknown,True,PENDING,sklearn_GPR,real_HDF5,2.5606,0.2689,valid_boundary_case,"Coarse LF (1434 cells, 77:1 ratio) produces extreme WSE. LSG degradation is real; LF quality boundary."
